n,word,transcription,translate
316,pebble,['pebl],галька\ горныйхрусталь
317,sand,[sænd],песок
318,seaweed,['si:wi:d],морскаяводоросль(TR!)
319,shell,[ʃel],раковина\ скорлупа
320,wave,[weiv],волна
321,motel,[məu'tel],мотель\ гостиница
322,lifeboat,['laifbəut],спасательнаялодка
323,pail,[peil],ведро
324,swimmer,['swimə],пловец
325,tube,[tju:b],труба(неpipe)
326,mask,[mɑ:sk],маска
327,TV,[‚ti:'vi:],телевизор\ телевидение
328,speaker,['spi:kə],оратор
329,record,['rekɔ:d],запись\ пластинка\ отчет\ рекорд
330,headphones,['hedfəunz],наушники
331,radio,['reidiəu],радио
332,microphone,['maikrəfəun],микрофон
333,gardening,['gɑ:dniŋ],садоводство
334,reading,['ri:diŋ],чтение
335,singing,['siŋiŋ],пение(TR!)
336,ceiling,['si:liŋ],потолок
337,wall,[wɔ:l],стена
338,painting,['peintiŋ],живопись
339,vase,[vɑ:z],ваза
340,fireplace,['faɪər‚pleɪs],камин(TR!)
341,staircase,['stɛəkeis],лестница
342,step,[step],шаг\ шагать(step)
343,desk,[desk],письменныйстол
344,carpet,['kɑ:pit],ковер\ устилать
345,chair,[ʧɛə],стул
346,bookcase,['bukkeis],книжныйшкаф
347,curtain,[kə:tn],занавеска\ занавес
348,cushion,['kuʃən],подушка
349,sofa,['səufə],диван
350,lamp,[læmp],лампа
351,window,['windəu],окно\ оконный
352,plant,[plɑ:nt],завод\ растение\ сажать\ внедрять\ посадить
353,photograph,['fəutəgrɑ:f],фотография\ фотографировать
354,stocking,['stɔkiŋ],чулок
355,slip,[slip],скольжение\ скользить
356,brain,[brein],мозг
357,throat,[θrəut],горло
358,heart,[hɑ:t],сердце
359,liver,['livə],печень
360,stomach,['stʌmək],живот\ желудок
361,muscle,['mʌs(ə)l],мышца
362,bone,[bəun],кость
363,kidney,['kidni],почка(анатом.)
364,vein,[vein],вена\ жила\ жилка
365,willow,['wiləu],ива
366,birch,[bə:ʧ],береза\ розга
367,oak,[əuk],дуб
368,branch,[brɑ:nʧ],ветвь\ отрасль
369,acorn,['eikɔ:n],желудь
370,pine,[pain],сосна
371,cone,[kəun],конус\ шишка(еловая)
372,trunk,[trʌŋk],ствол\ туловище
373,bark,[bɑ:k],корадерева
374,root,['ru:t],корень
375,leaf,[li:f],лист
376,twig,[twɪg],веточка\ прутик
377,beech,[bi:ʧ],бук
378,ash,[æʃ],ясень
379,chestnut,['ʧesnʌt],каштан
380,walnut,['wɔ:lnʌt],грецкийорех
381,mountain,['mauntin],гора
382,hill,[hil],холм\ гора
383,river,['rivə],река
384,village,['viliʤ],деревня
385,bridge,[briʤ],мост
386,orchard,['ɔ:ʧəd],фруктовыйсад
387,pond,[pɔnd],пруд(неpool)
388,stable,['steibl],конюшня
389,hay,[hei],сено
390,field,[fi:ld],поле
391,fence,[fens],забор
392,barn,[bɑ:n],амбар
393,tent,[tent],палатка
394,blocks,[blɔks],кварталы(отblock)
395,puzzle,[pʌzl],приводитьвзатруднение\ загадка
396,shovel,['ʃʌvl],лопата
397,clay,[klei],глина\ земля
398,nightingale,['naitiŋgeil],соловей
399,violet,['vaiələt],фиолетовый(неpurple)
400,consciousness,['kɔnʃəsnis],сознание\ сознательность
401,abstract,['æbstrækt],отвлеченный\ абстрактный
402,dramatic,[drə'mætik],драматический
403,grand,[grænd],величественный
